id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
90134693,,6000.0,6000.0,6000.0, 36 months,9.49,192.17,B,B2,MEDICAL ASSISTANT,10+ years,RENT,60000.0,Not Verified,Sep-2016,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=90134693,,credit_card,Credit card refinancing,070xx,NJ,15.99,1.0,Aug-1998,675.0,679.0,0.0,7.0,33.0,22.0,3.0,7326.0,18.1,35.0,w,0.0,0.0,6714.542203218,6714.54,6000.0,714.54,0.0,0.0,0.0,May-2018,3069.64,,Mar-2019,789.0,785.0,1.0,7.0,1.0,Individual,,,,0.0,140.0,36307.0,2.0,5.0,2.0,2.0,11.0,28981.0,74.0,2.0,4.0,1900.0,46.0,40500.0,0.0,0.0,0.0,6.0,1729.0,19393.0,24.8,0.0,0.0,147.0,217.0,4.0,4.0,0.0,4.0,,13.0,65.0,3.0,6.0,10.0,8.0,10.0,9.0,17.0,25.0,10.0,22.0,0.0,0.0,1.0,4.0,91.2,0.0,0.0,0.0,79661.0,36307.0,25800.0,39161.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
69116856,,28000.0,28000.0,28000.0, 60 months,10.78,605.73,B,B4,General Manager,10+ years,RENT,110000.0,Not Verified,Jan-2016,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=69116856,,debt_consolidation,Debt consolidation,951xx,CA,19.89,0.0,Apr-1999,740.0,744.0,0.0,,,8.0,0.0,26625.0,76.3,17.0,w,8596.74,8596.74,25547.07,25547.07,19403.26,6143.81,0.0,0.0,0.0,Mar-2019,605.73,Apr-2019,Mar-2019,709.0,705.0,0.0,,1.0,Individual,,,,0.0,0.0,71257.0,1.0,3.0,1.0,3.0,8.0,44632.0,77.0,2.0,2.0,969.0,77.0,34900.0,1.0,3.0,1.0,5.0,8907.0,1531.0,38.8,0.0,0.0,72.0,201.0,6.0,6.0,0.0,130.0,,8.0,,0.0,1.0,4.0,1.0,6.0,4.0,5.0,13.0,4.0,8.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,92720.0,71257.0,2500.0,57820.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
57732745,,30000.0,30000.0,30000.0, 36 months,10.99,982.02,B,B4,Director Of Operations,< 1 year,MORTGAGE,150000.0,Verified,Aug-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=57732745,,debt_consolidation,Debt consolidation,760xx,TX,7.62,0.0,Jul-1989,690.0,694.0,1.0,39.0,,5.0,0.0,9639.0,96.4,20.0,f,0.0,0.0,34682.2073699719,34682.21,30000.0,4682.21,0.0,0.0,0.0,Aug-2017,12114.07,,Mar-2019,709.0,705.0,0.0,39.0,1.0,Individual,,,,0.0,0.0,240312.0,,,,,,,,,,,,10000.0,,,,1.0,48062.0,361.0,96.4,0.0,0.0,157.0,161.0,47.0,18.0,3.0,57.0,,2.0,,1.0,3.0,3.0,3.0,7.0,6.0,3.0,10.0,3.0,5.0,0.0,0.0,0.0,0.0,95.0,100.0,0.0,0.0,257138.0,13977.0,10000.0,15904.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
126252929,,32000.0,32000.0,32000.0, 36 months,6.72,983.98,A,A3,Operator,< 1 year,MORTGAGE,70000.0,Source Verified,Feb-2018,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=126252929,,moving,Moving and relocation,283xx,NC,5.35,0.0,Aug-2007,715.0,719.0,0.0,78.0,,16.0,0.0,11611.0,36.3,24.0,w,21179.01,21179.01,12779.79,12779.79,10820.99,1958.8,0.0,0.0,0.0,Mar-2019,983.98,Apr-2019,Mar-2019,784.0,780.0,0.0,,1.0,Individual,,,,0.0,0.0,16579.0,0.0,1.0,1.0,3.0,9.0,4968.0,79.0,0.0,4.0,2228.0,43.0,32000.0,2.0,0.0,0.0,7.0,1036.0,11431.0,25.8,0.0,0.0,125.0,97.0,15.0,9.0,0.0,15.0,,13.0,,0.0,4.0,8.0,9.0,9.0,8.0,15.0,16.0,8.0,16.0,0.0,0.0,0.0,1.0,100.0,22.2,0.0,0.0,38268.0,16579.0,15400.0,6268.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
121929550,,17000.0,17000.0,17000.0, 36 months,5.32,511.96,A,A1,,,MORTGAGE,25000.0,Not Verified,Nov-2017,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=121929550,,debt_consolidation,Debt consolidation,547xx,WI,30.82,0.0,Oct-1993,735.0,739.0,0.0,54.0,,8.0,0.0,19934.0,31.5,26.0,w,0.0,0.0,17899.2994564246,17899.3,17000.0,899.3,0.0,0.0,0.0,Jan-2019,11248.84,,Jan-2019,789.0,785.0,0.0,,1.0,Joint App,90000.0,13.97,Not Verified,0.0,0.0,282603.0,0.0,0.0,0.0,0.0,31.0,0.0,,1.0,1.0,10823.0,32.0,63200.0,0.0,2.0,0.0,4.0,35325.0,33957.0,32.5,0.0,0.0,288.0,282.0,9.0,9.0,10.0,9.0,54.0,17.0,54.0,0.0,3.0,5.0,5.0,7.0,6.0,7.0,10.0,5.0,8.0,0.0,0.0,0.0,1.0,96.0,0.0,0.0,0.0,332640.0,19934.0,50300.0,0.0,32962.0,735.0,739.0,Apr-2000,1.0,10.0,25.0,18.2,0.0,32.0,0.0,0.0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
39937239,,12000.0,12000.0,12000.0, 36 months,13.66,408.16,C,C3,LPN,2 years,RENT,44064.0,Source Verified,Jan-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=39937239,,debt_consolidation,Debt consolidation,191xx,PA,16.58,0.0,Apr-2009,705.0,709.0,1.0,,,10.0,0.0,2454.0,39.0,19.0,f,0.0,0.0,14292.9661245047,14292.97,12000.0,2292.97,0.0,0.0,0.0,Mar-2017,1687.08,,Aug-2017,639.0,635.0,0.0,,1.0,Individual,,,,0.0,0.0,28210.0,,,,,,,,,,,,6300.0,,,,2.0,2821.0,1022.0,63.5,0.0,0.0,69.0,39.0,3.0,3.0,0.0,33.0,,4.0,,0.0,2.0,4.0,2.0,3.0,10.0,5.0,9.0,4.0,10.0,0.0,0.0,0.0,1.0,100.0,50.0,0.0,0.0,40633.0,28210.0,2800.0,34333.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
124435368,,25000.0,25000.0,25000.0, 60 months,9.93,530.32,B,B2,TRUCK DRIVER,5 years,OWN,100000.0,Not Verified,Nov-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=124435368,,debt_consolidation,Debt consolidation,391xx,MS,17.55,0.0,Oct-1996,765.0,769.0,0.0,,,12.0,0.0,12945.0,19.3,18.0,w,19490.96,19490.96,8471.33,8471.33,5509.04,2962.29,0.0,0.0,0.0,Mar-2019,530.32,Apr-2019,Mar-2019,739.0,735.0,0.0,,1.0,Individual,,,,0.0,0.0,41873.0,0.0,2.0,0.0,1.0,13.0,28928.0,70.0,0.0,2.0,404.0,29.0,67000.0,1.0,4.0,3.0,3.0,3489.0,31071.0,1.7,0.0,0.0,138.0,52.0,23.0,13.0,0.0,23.0,,2.0,,0.0,2.0,4.0,5.0,7.0,5.0,10.0,12.0,4.0,12.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,118000.0,41873.0,31600.0,51000.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
130785643,,10000.0,10000.0,10000.0, 36 months,14.07,342.12,C,C3,Office Manager,2 years,RENT,70000.0,Source Verified,Apr-2018,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=130785643,,moving,Moving and relocation,021xx,MA,13.17,1.0,Feb-2005,660.0,664.0,2.0,17.0,,5.0,0.0,6680.0,73.4,16.0,w,7376.19,7376.19,3804.01,3804.01,2623.81,1180.2,0.0,0.0,0.0,Mar-2019,342.12,Apr-2019,Mar-2019,659.0,655.0,0.0,17.0,1.0,Individual,,,,0.0,0.0,12921.0,0.0,1.0,0.0,0.0,25.0,6241.0,31.0,2.0,2.0,2698.0,44.0,9100.0,0.0,0.0,2.0,2.0,2584.0,1120.0,85.6,0.0,0.0,144.0,157.0,10.0,10.0,0.0,11.0,59.0,3.0,59.0,3.0,3.0,3.0,3.0,9.0,5.0,4.0,11.0,3.0,5.0,0.0,0.0,1.0,2.0,81.3,66.7,0.0,0.0,29527.0,12921.0,7800.0,20427.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
138841263,,10000.0,10000.0,10000.0, 36 months,20.89,376.19,D,D4,Office Clerk,7 years,RENT,51000.0,Source Verified,Aug-2018,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=138841263,,debt_consolidation,Debt consolidation,207xx,MD,18.02,0.0,Jul-1998,665.0,669.0,0.0,55.0,,10.0,0.0,3490.0,33.9,23.0,w,0.0,0.0,10121.859444445,10121.86,10000.0,121.86,0.0,0.0,0.0,Sep-2018,145.07,,Dec-2018,699.0,695.0,1.0,72.0,1.0,Individual,,,,0.0,1222.0,19100.0,5.0,2.0,1.0,1.0,2.0,15610.0,48.0,5.0,5.0,1308.0,44.0,10300.0,0.0,7.0,2.0,6.0,1910.0,2819.0,43.6,0.0,0.0,136.0,241.0,2.0,2.0,1.0,2.0,,8.0,,1.0,2.0,5.0,3.0,4.0,10.0,8.0,12.0,5.0,10.0,0.0,0.0,0.0,6.0,100.0,66.7,0.0,0.0,43014.0,19100.0,5000.0,32714.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
70054091,,28000.0,28000.0,28000.0, 36 months,7.91,876.26,A,A5,IT Manager,10+ years,MORTGAGE,128000.0,Not Verified,Jan-2016,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=70054091,,credit_card,Credit card refinancing,483xx,MI,18.45,0.0,Aug-1993,710.0,714.0,0.0,,,12.0,0.0,40888.0,78.2,28.0,w,0.0,0.0,31522.8892996267,31522.89,28000.0,3522.89,0.0,0.0,0.0,Feb-2019,2.14,,Mar-2019,779.0,775.0,0.0,,1.0,Individual,,,,0.0,0.0,306146.0,0.0,5.0,0.0,1.0,23.0,65339.0,79.0,1.0,1.0,14080.0,78.0,52300.0,1.0,0.0,0.0,2.0,25512.0,11412.0,78.2,0.0,0.0,251.0,269.0,11.0,11.0,2.0,11.0,,18.0,,0.0,5.0,5.0,5.0,11.0,11.0,5.0,14.0,5.0,12.0,0.0,0.0,0.0,1.0,100.0,80.0,0.0,0.0,384436.0,106300.0,52300.0,82976.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
